store_no,customers_unique,Store Name,Address
400,1926,,
291,1732,,
290,1557,,
403,1531,,
404,1506,,
402,1423,,
405,1304,,
401,1181,,
40569,1162,Union Station - Food Court,
260,1064,,
407,979,,
406,849,,
40568,784,Union Station - Concourse,
5898,723,McCowan and Hwy 7,
40346,715,Eaton Centre Food Court,
23626,701,Sherway North,
297,697,,
8938,695,,
11787,687,Hwy 7 and Warden,
40675,680,Kennedy Commons,
14740,653,Whitby 1301 Brock St,
3677,652,1280 Markham Rd,
1484,647,Whitby 1615 Dundas St,
8888,635,,
8078,633,,
22566,600,,
23469,593,,
16637,592,,
8874,584,,
40505,578,,
8336,576,,
29010,547,,
250,547,,
6365,547,,
40208,546,,
7178,545,,
40494,542,,
18998,539,,
8939,534,,
14533,527,,
23919,526,,
11764,519,,
10508,513,,
40311,512,,
40573,508,,
11057,508,,
11274,505,,
3313,503,,
8674,491,,
4397,491,,
40057,483,,
26020,481,,
18463,479,,
29133,475,,
2249,474,,
8356,471,,
19052,471,,
4982,471,,
1191,471,,
40764,468,,
40024,461,,
4981,459,,
29127,459,,
1860,458,,
4718,455,,
40437,455,,
40117,454,,
40433,452,,
4501,450,,
29005,449,,
8794,448,,
8286,447,,
3729,447,,
40008,445,,
8446,444,,
1198,444,,
8728,442,,
12092,438,,
10988,437,,
12158,436,,
11226,436,,
29128,430,,
8008,428,,
25012,428,,
40334,428,,
40448,425,,
40359,422,Yonge and Sheppard,
10429,420,,
7565,420,,
29076,420,,
40503,419,,
14146,418,,
40403,418,,
40108,417,,
29111,417,,
6974,417,,
8341,416,,
40335,416,,
9410,410,,
8159,409,,
2128,408,,
29084,408,,
23651,408,,
6478,407,,
214,407,,
29724,407,,
8108,406,,
9527,405,,
4916,405,,
2818,404,,
26060,403,,
40391,401,,
10105,400,,
40732,399,,
10188,397,,
40206,396,,
4318,396,,
8209,395,,
8751,393,,
4130,393,,
8837,391,,
3870,390,,
2631,388,,
40122,387,,
8213,386,,
40418,384,,
29704,383,,
40254,382,,
1562,382,,
408,380,,
1501,378,,
8766,378,,
40397,378,,
1245,377,,
40449,377,,
10609,374,,
40251,374,,
23430,373,,
29161,373,,
1320,372,,
40777,372,,
6560,370,,
10477,369,,
29073,368,,
1326,368,,
2138,368,,
1777,367,,
9216,367,,
5772,366,,
11848,365,,
1808,365,,
40109,365,,
11507,364,,
1197,364,,
40587,363,,
4190,363,,
40289,362,,
40222,362,,
9114,361,,
23173,361,,
20668,359,,
12164,359,,
12270,358,,
19068,358,,
40656,358,,
40713,357,,
40729,357,,
11428,356,,
40589,355,,
40210,355,,
1663,355,,
40747,355,,
8930,354,,
23192,354,,
8067,353,,
10306,353,,
10702,352,,
12165,352,,
40367,352,,
29075,351,,
4129,351,,
4659,351,,
7403,351,,
14879,350,,
29017,348,,
3800,348,,
5262,346,,
11257,346,,
18059,346,,
5676,345,,
26050,345,,
40204,345,,
10888,345,,
40013,343,,
1196,343,,
19785,343,,
121,343,,
21873,343,,
21612,343,,
40383,342,,
29113,342,,
40507,340,,
40677,339,,
1690,336,,
26061,336,,
40580,335,,
7094,335,,
3627,335,,
40131,333,,
119,333,,
9567,333,,
14398,332,,
40097,331,,
2622,330,,
29719,330,,
40292,329,,
40700,329,,
29130,328,,
8053,328,,
3914,327,,
1689,326,,
29164,326,,
29132,326,,
2245,325,,
166,325,,
40452,324,,
8185,323,,
40045,323,,
1188,321,,
9219,320,,
1974,320,,
3916,320,,
23918,319,,
10875,319,,
12721,319,,
40065,319,,
6617,319,,
40037,318,,
40340,318,,
9488,318,,
29156,317,,
8898,316,,
26031,316,,
5096,316,,
1765,315,,
9042,314,,
29726,313,,
8346,313,,
7518,312,,
5652,312,,
40431,312,,
148,311,,
9554,311,,
9425,311,,
5179,311,,
11501,311,,
40581,310,,
5372,310,,
5363,309,,
17515,309,,
25013,309,,
29162,309,,
5080,306,,
10703,306,,
1646,305,,
21038,304,,
29110,304,,
8434,303,,
8583,303,,
8973,303,,
23914,302,,
1333,302,,
40476,302,,
40073,301,,
8009,301,,
5765,301,,
9529,301,,
10889,301,,
10935,300,,
11907,300,,
4503,300,,
25002,300,,
5382,299,,
4178,298,,
9099,298,,
9319,297,,
26058,297,,
40281,296,,
8071,296,,
4954,295,,
21422,295,,
5260,295,,
23431,295,,
40017,294,,
4614,294,,
6541,294,,
10884,293,,
7260,293,,
3604,293,,
29080,293,,
29068,290,,
1977,290,,
29715,289,,
41120,289,,
16639,289,,
9039,289,,
40579,289,,
40038,288,,
23922,288,,
2129,288,,
23251,288,,
5139,288,,
14535,287,,
3254,286,,
40047,286,,
3586,286,,
5483,286,,
23907,286,,
26055,286,,
1975,285,,
40571,285,,
4559,285,,
1187,285,,
40554,285,,
19198,284,,
20670,284,,
40837,284,,
9193,284,,
40220,283,,
40227,283,,
239,282,,
8368,282,,
5860,282,,
1617,281,,
21454,281,,
10793,281,,
25032,281,,
40537,281,,
2135,280,,
40348,280,,
12050,280,,
2244,279,,
21433,279,,
11313,279,,
1449,279,,
29093,279,,
8823,278,,
29066,277,,
8867,277,,
498,277,,
26129,276,,
11476,275,,
20796,275,,
11590,274,,
2445,274,,
26052,274,,
29141,273,,
40071,273,,
10430,273,,
17500,273,,
5409,273,,
29186,273,,
40014,272,,
8616,272,,
3141,272,,
40330,271,,
40413,271,,
3847,271,,
40354,271,,
8205,270,,
40269,270,,
5968,269,,
22357,268,,
2584,267,,
40795,267,,
231,267,,
1832,266,,
11030,266,,
40440,266,,
7957,266,,
4894,266,,
26056,265,,
2220,265,,
40082,264,,
9287,264,,
26010,264,,
4203,264,,
224,264,,
9158,264,,
14203,263,,
40453,263,,
29117,263,,
2719,262,,
40268,262,,
29014,262,,
7666,262,,
40610,262,,
40168,262,,
9079,262,,
5303,261,,
5970,261,,
5220,260,,
40072,260,,
9505,259,,
23193,259,,
10007,258,,
4040,258,,
40469,258,,
26030,257,,
234,257,,
40760,257,,
4671,256,,
40690,256,,
3582,256,,
8075,256,,
9048,255,,
40031,255,,
9308,255,,
8982,254,,
5355,254,,
17159,252,,
2140,252,,
29107,252,,
40299,252,,
21808,251,,
11987,251,,
40629,251,,
18127,250,,
13277,250,,
29708,250,,
893,250,,
40058,250,,
40050,250,,
29011,249,,
10093,249,,
40392,249,,
8639,249,,
7186,248,,
2386,248,,
10580,248,,
40606,248,,
7626,247,,
14869,247,,
23911,247,,
41108,246,,
14494,246,,
6322,245,,
40412,245,,
15624,245,,
40005,245,,
8637,245,,
# 1809,244,,
29177,244,,
40022,244,,
29143,243,,
3992,243,,
40771,243,,
26054,242,,
4317,242,,
8638,242,,
29176,241,,
25004,241,,
29108,241,,
40651,241,,
26008,241,,
29016,241,,
12016,241,,
40450,241,,
1558,240,,
29115,240,,
6479,238,,
1269,238,,
40416,238,,
10078,238,,
21679,237,,
29038,237,,
21548,237,,
12166,236,,
12310,236,,
2591,236,,
40273,235,,
40698,235,,
29102,234,,
2632,234,,
5550,234,,
13588,233,,
8039,233,,
6194,233,,
40623,233,,
9171,232,,
40021,232,,
29722,232,,
40553,232,,
40427,232,,
6163,232,,
29717,232,,
40043,230,,
29159,230,,
3581,230,,
40308,230,,
8640,230,,
1254,230,,
18739,230,,
9037,229,,
3807,228,,
10696,228,,
8399,228,,
40279,227,,
40574,227,,
40016,227,,
7600,226,,
40396,226,,
18461,226,,
1563,226,,
2146,226,,
40039,225,,
7956,225,,
40779,225,,
3989,225,,
10867,225,,
12224,225,,
16638,224,,
40513,224,,
12418,224,,
8886,224,,
40179,224,,
40902,224,,
16636,223,,
9473,223,,
11104,223,,
40135,223,,
22857,223,,
29048,222,,
11908,222,,
40329,222,,
1516,222,,
12135,222,,
40694,221,,
21423,221,,
29106,221,,
190,221,,
11928,221,,
40215,221,,
8606,220,,
14804,220,,
9510,220,,
10127,220,,
2296,220,,
15611,219,,
3211,219,,
16129,219,,
5079,219,,
40023,219,,
11019,218,,
20703,218,,
2139,218,,
7027,217,,
40328,217,,
3226,217,,
9455,217,,
40011,215,,
14534,215,,
3730,215,,
8868,215,,
29078,214,,
7795,214,,
13357,214,,
40010,214,,
5634,214,,
8865,213,,
2784,213,,
2314,213,,
10349,212,,
29709,212,,
4389,212,,
108,212,,
21611,212,,
12362,211,,
10494,211,,
12417,211,,
5841,211,,
3312,211,,
40321,211,,
4506,211,,
107,211,,
9115,211,,
29716,210,,
22743,210,,
21444,210,,
1647,210,,
40828,209,,
6722,209,,
29097,209,,
13763,209,,
8250,209,,
40064,209,,
25010,209,,
6605,209,,
40467,209,,
19580,208,,
18239,208,,
29051,208,,
9040,208,,
40800,208,,
3548,207,,
11942,206,,
40175,206,,
40020,206,,
40432,205,,
8020,205,,
26005,205,,
25020,204,,
2546,204,,
807,204,,
18898,204,,
40417,204,,
29148,204,,
40323,204,,
26053,203,,
25014,203,,
13687,203,,
40247,203,,
5113,203,,
22716,202,,
197,202,,
29092,202,,
10216,202,,
20074,201,,
26011,201,,
22390,201,,
26038,201,,
14880,200,,
7226,200,,
4248,200,,
12136,199,,
22722,199,,
8249,199,,
40001,199,,
16352,199,,
29094,199,,
40483,198,,
7734,198,,
20785,197,,
11135,197,,
3111,197,,
40174,197,,
40518,197,,
20437,196,,
29121,196,,
101,196,,
40325,195,,
8636,195,,
40,195,,
40257,195,,
6721,195,,
16389,194,,
15853,194,,
10947,194,,
6157,193,,
4672,193,,
20911,193,,
225,192,,
40706,192,,
15764,192,,
6911,192,,
16711,192,,
14909,192,,
40426,191,,
2346,191,,
40351,191,,
40059,191,,
40474,191,,
40455,191,,
5857,190,,
16712,190,,
11147,190,,
16553,190,,
22109,190,,
2252,190,,
29040,189,,
40298,189,,
6510,188,,
26003,187,,
